bI_0,alpha,new deaths,bI,bA,bP,R0

0.186,-0.257,0.0,0,0.0,0,0.0

0.186,-0.257,1.0388590514212862e-05,3.5502414549907506,1.7751207274953753,17.751207274953753,7.253143292546104

0.186,-0.257,7.335658512065781e-05,2.1483008188770785,1.0741504094385392,10.741504094385393,4.388978572965872

0.186,-0.257,0.0002241761560723785,1.6121723328304276,0.8060861664152138,8.060861664152139,3.293668075972564

0.186,-0.257,0.0004905727724296081,1.3182632950588176,0.6591316475294088,6.591316475294088,2.6932119118051645

0.186,-0.257,0.0008983087088047553,1.128450627663781,0.5642253138318905,5.642253138318905,2.305424632317105

0.186,-0.257,0.0014736456858544043,0.9936556891429535,0.4968278445714768,4.968278445714768,2.030038572919054

0.186,-0.257,0.002244463486013148,0.891819615282136,0.445909807641068,4.4590980764106805,1.8219874740214042

0.186,-0.257,0.003240741613918882,0.8114790870057007,0.40573954350285035,4.0573954350285035,1.6578517747526464

0.186,-0.257,0.004494715906941238,0.746050913986463,0.3730254569932315,3.7302545699323146,1.5241820172743439

0.186,-0.257,0.006040857720638771,0.6914656368293862,0.3457328184146931,3.457328184146931,1.4126642960424363

0.186,-0.257,0.007915749927473485,0.6450605512123936,0.3225302756061968,3.225302756061968,1.3178587061269202

0.186,-0.257,0.010157900113341917,0.6050124785258123,0.30250623926290615,3.0250623926290614,1.2360404936282345

0.186,-0.257,0.01280751432943918,0.5700257539101168,0.2850128769550584,2.850128769550584,1.1645626152383686

0.186,-0.257,0.0159062464217541,0.5391505389690673,0.26957526948453364,2.6957526948453365,1.1014845511138045

0.186,-0.257,0.019496933148912862,0.5116719440803734,0.2558359720401867,2.5583597204018673,1.045345781756203

0.186,-0.257,0.023623322557143646,0.4870396429539063,0.24351982147695314,2.4351982147695312,0.9950219905548305

0.186,-0.257,0.02832980152697837,0.464821659116327,0.2324108295581635,2.324108295581635,0.9496306495746561

0.186,-0.257,0.03366112684261854,0.4446731235382328,0.2223365617691164,2.223365617691164,0.9084671913886097

0.186,-0.257,0.03966216355186227,0.4263146028998257,0.21315730144991285,2.1315730144991285,0.870960733724344

0.186,-0.257,0.0463776336792972,0.40951671956536434,0.20475835978268217,2.0475835978268218,0.8366426580720394

0.186,-0.257,0.05385187736763176,0.394089012201218,0.197044506100609,1.97044506100609,0.8051238519270885

0.186,-0.257,0.06212862840307829,0.3798717175386454,0.1899358587693227,1.899358587693227,0.7760779189314526

0.186,-0.257,0.07125080514562948,0.3667296058596878,0.1833648029298439,1.833648029298439,0.7492285847713421

0.186,-0.257,0.08126031823677599,0.354547285684166,0.177273642842083,1.77273642842083,0.7243401046527513

